pincode,age_0_5,age_18_greater,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,adult_spike_ratio,velocity_index,ghost_ratio,anomaly_label,anomaly_score,primary_risk_factor,risk_status,lat,lon,geo_accuracy
110016,184.0,27.0,Delhi,South Delhi,1027.0,836.0,152.0,1724.0,0.1273584905660377,1179.0,0.1478599221789883,1,0.2129689544366663,adult_spike_ratio,Low,0.0,0.0,Low
110017,996.0,117.0,Delhi,South Delhi,3766.0,5371.0,980.0,10622.0,0.1050269299820466,4746.0,0.2601539686753384,1,0.1299806213762856,adult_spike_ratio,Low,0.0,0.0,Low
110018,2324.0,162.0,Delhi,West Delhi,8841.0,12116.0,1493.0,15270.0,0.0651387213510253,10334.0,0.1688532006333408,1,0.112419784173381,velocity_index,Low,0.0,0.0,Low
110019,552.0,14.0,Delhi,South Delhi,6256.0,7045.0,1594.0,16653.0,0.0246913580246913,7850.0,0.254754674764264,1,0.1695197819086553,velocity_index,Low,0.0,0.0,Low
110020,268.0,7.0,Delhi,South Delhi,3879.0,4979.0,198.0,2055.0,0.0253623188405797,4077.0,0.0510309278350515,1,0.2367921760438436,velocity_index,Low,0.0,0.0,Low
110021,152.0,46.0,Delhi,New Delhi,1465.0,1706.0,249.0,1531.0,0.2311557788944723,1714.0,0.169849931787176,1,0.1325777580954915,adult_spike_ratio,Low,0.0,0.0,Low
110022,149.0,14.0,Delhi,South West Delhi,1805.0,2172.0,422.0,2911.0,0.0853658536585365,2227.0,0.2336655592469546,1,0.2145831637367692,adult_spike_ratio,Low,0.0,0.0,Low
110023,98.0,11.0,Delhi,New Delhi,1050.0,1440.0,211.0,1876.0,0.1,1261.0,0.2007611798287345,1,0.2344013552875989,adult_spike_ratio,Low,0.0,0.0,Low
110024,196.0,52.0,Delhi,South Delhi,1071.0,1400.0,99.0,1591.0,0.2088353413654618,1170.0,0.0923507462686567,1,0.1671933669747973,adult_spike_ratio,Low,0.0,0.0,Low
110025,871.0,11.0,Delhi,South Delhi,7991.0,10056.0,2760.0,24145.0,0.0124575311438278,10751.0,0.3453453453453453,1,0.0793830587219966,velocity_index,Low,0.0,0.0,Low
110026,87.0,6.0,Delhi,West Delhi,877.0,1140.0,102.0,1179.0,0.0638297872340425,979.0,0.1161731207289293,1,0.2913853538411376,adult_spike_ratio,Low,0.0,0.0,Low
110027,740.0,43.0,Delhi,West Delhi,5391.0,9091.0,1148.0,12041.0,0.0548469387755102,6539.0,0.2129080118694362,1,0.1885816619493331,velocity_index,Low,0.0,0.0,Low
110028,119.0,1.0,Delhi,South West Delhi,2105.0,2236.0,203.0,2000.0,0.0082644628099173,2308.0,0.0963912630579297,1,0.30345907075313,ghost_ratio,Low,0.0,0.0,Low
110029,135.0,23.0,Delhi,South Delhi,677.0,836.0,81.0,1157.0,0.1446540880503144,758.0,0.1194690265486725,1,0.2103002147586288,adult_spike_ratio,Low,0.0,0.0,Low
110030,636.0,47.0,Delhi,South Delhi,5387.0,8159.0,562.0,5711.0,0.0687134502923976,5949.0,0.1043058648849294,1,0.1915078045527501,velocity_index,Low,0.0,0.0,Low
110031,409.0,6.0,Delhi,East Delhi,5716.0,7423.0,3136.0,17371.0,0.0144230769230769,8852.0,0.548539443764212,1,0.0586769368506848,ghost_ratio,Low,0.0,0.0,Low
110032,1550.0,56.0,Delhi,Shahdara,10167.0,14435.0,2189.0,14036.0,0.0348475420037336,12356.0,0.2152832415420928,1,0.0898899203103015,velocity_index,Low,0.0,0.0,Low
110033,814.0,5.0,Delhi,North West Delhi,10880.0,17220.0,3997.0,38251.0,0.0060975609756097,14877.0,0.367337560885948,1,0.0269700638742252,velocity_index,Low,0.0,0.0,Low
110034,1630.0,122.0,Delhi,North West Delhi,6964.0,7548.0,3802.0,26863.0,0.069594980034227,10766.0,0.5458722182340273,1,0.0059814282561702,velocity_index,Low,0.0,0.0,Low
110035,255.0,1.0,Delhi,North West Delhi,3166.0,4574.0,754.0,7249.0,0.0038910505836575,3920.0,0.2380802020839911,1,0.2430523415440182,velocity_index,Low,0.0,0.0,Low
110036,387.0,4.0,Delhi,North West Delhi,5194.0,6559.0,1410.0,6952.0,0.010204081632653,6604.0,0.2714148219441771,1,0.1852869848822176,velocity_index,Low,0.0,0.0,Low
110037,763.0,65.0,Delhi,South West Delhi,5252.0,4597.0,2028.0,10371.0,0.0784077201447527,7280.0,0.386065105653912,1,0.0808559339611563,velocity_index,Low,0.0,0.0,Low
110038,39.0,0.0,Delhi,South West Delhi,931.0,719.0,189.0,1226.0,0.0,1120.0,0.2027896995708154,1,0.3181568845719493,adult_spike_ratio,Low,0.0,0.0,Low
110039,902.0,44.0,Delhi,North Delhi,8300.0,11912.0,3021.0,14564.0,0.0464625131995776,11321.0,0.3639320563787495,1,0.0521019749266001,velocity_index,Low,0.0,0.0,Low
110040,1292.0,92.0,Delhi,North West Delhi,8875.0,7948.0,3488.0,13271.0,0.0664259927797834,12363.0,0.3929698062190175,1,0.0194360011253228,velocity_index,Low,0.0,0.0,Low
110041,2115.0,22.0,Delhi,West Delhi,18033.0,27420.0,7204.0,35266.0,0.010289990645463,25237.0,0.3994676721747809,-1,-0.0335371300362108,velocity_index,CRITICAL,28.6822776,77.0237022,High
110042,1061.0,7.0,Delhi,North West Delhi,17676.0,29109.0,4551.0,27811.0,0.0065481758652946,22227.0,0.2574531877581038,1,0.0122930330467373,velocity_index,Low,0.0,0.0,Low
110043,1127.0,9.0,Delhi,West Delhi,15104.0,19857.0,5351.0,36823.0,0.0079155672823219,20455.0,0.3542535584243628,1,0.0003622201981594,velocity_index,Low,0.0,0.0,Low
110044,1412.0,12.0,Delhi,South Delhi,19840.0,25972.0,5792.0,39991.0,0.0084210526315789,25632.0,0.2919207701224736,-1,-0.0128775272329975,velocity_index,CRITICAL,28.5137797,77.2706132,High
110045,2158.0,138.0,Delhi,South West Delhi,9642.0,11397.0,3692.0,31795.0,0.0600783630822812,13334.0,0.3828684019496007,1,0.0205729139710646,velocity_index,Low,0.0,0.0,Low
110046,282.0,7.0,Delhi,South West Delhi,4710.0,5526.0,1918.0,15741.0,0.0241379310344827,6628.0,0.4071322436849925,1,0.1237591724969867,ghost_ratio,Low,0.0,0.0,Low
110047,234.0,4.0,Delhi,South Delhi,3335.0,5227.0,857.0,5243.0,0.0167364016736401,4192.0,0.25689448441247,1,0.2345319496581602,velocity_index,Low,0.0,0.0,Low
110048,129.0,42.0,Delhi,South Delhi,908.0,1164.0,131.0,2057.0,0.2441860465116279,1039.0,0.1441144114411441,1,0.1276766041154018,adult_spike_ratio,Low,0.0,0.0,Low
110049,160.0,9.0,Delhi,South Delhi,1391.0,1694.0,139.0,1461.0,0.0529411764705882,1530.0,0.0998563218390804,1,0.2878179849063244,adult_spike_ratio,Low,0.0,0.0,Low
110051,608.0,22.0,Delhi,East Delhi,5216.0,6353.0,1913.0,17476.0,0.0348652931854199,7129.0,0.3666858347709411,1,0.1264466761583095,velocity_index,Low,0.0,0.0,Low
110052,438.0,4.0,Delhi,North West Delhi,7314.0,10083.0,1610.0,16857.0,0.0090293453724604,8924.0,0.2200956937799043,1,0.1673615167971611,velocity_index,Low,0.0,0.0,Low
110053,2649.0,20.0,Delhi,North East Delhi,22766.0,36544.0,3173.0,21785.0,0.0074906367041198,25939.0,0.139368384064655,1,0.0220747401403449,velocity_index,Low,0.0,0.0,Low
110054,247.0,15.0,Delhi,Central Delhi,2619.0,3249.0,227.0,1873.0,0.0570342205323193,2846.0,0.0866412213740458,1,0.2664020114902194,adult_spike_ratio,Low,0.0,0.0,Low
110055,572.0,36.0,Delhi,Central Delhi,3845.0,4225.0,537.0,5225.0,0.0591133004926108,4382.0,0.1396255850234009,1,0.2232450219267936,velocity_index,Low,0.0,0.0,Low
110056,26.0,1.0,Delhi,North West Delhi,448.0,353.0,22.0,237.0,0.0357142857142857,470.0,0.0489977728285077,1,0.2915281967474397,velocity_index,Low,0.0,0.0,Low
110057,145.0,24.0,Delhi,New Delhi,1565.0,1823.0,180.0,2385.0,0.1411764705882353,1745.0,0.1149425287356321,1,0.208738393422073,adult_spike_ratio,Low,0.0,0.0,Low
110058,152.0,3.0,Delhi,West Delhi,1765.0,2300.0,197.0,2049.0,0.0192307692307692,1962.0,0.1115515288788221,1,0.304546598377202,ghost_ratio,Low,0.0,0.0,Low
110059,7297.0,740.0,Delhi,West Delhi,24328.0,32736.0,11402.0,104241.0,0.0920627021647176,35730.0,0.4686588022524559,-1,-0.0674851898761658,velocity_index,CRITICAL,28.6298617,77.053085,High
110060,42.0,2.0,Delhi,Central Delhi,329.0,485.0,42.0,646.0,0.0444444444444444,371.0,0.1272727272727272,1,0.2923569962319001,ghost_ratio,Low,0.0,0.0,Low
110061,281.0,97.0,Delhi,South West Delhi,1862.0,1699.0,182.0,1580.0,0.2559366754617414,2044.0,0.097691894793344,1,0.0927322379285098,adult_spike_ratio,Low,0.0,0.0,Low
110062,2081.0,22.0,Delhi,South Delhi,21305.0,29062.0,3713.0,47075.0,0.0104562737642585,25018.0,0.1742701586407584,1,0.0115329703275173,velocity_index,Low,0.0,0.0,Low
110063,316.0,7.0,Delhi,West Delhi,3425.0,4321.0,1893.0,16259.0,0.0216049382716049,5318.0,0.5525394045534151,1,0.0966767186772072,ghost_ratio,Low,0.0,0.0,Low
110064,119.0,4.0,Delhi,South West Delhi,1908.0,2449.0,336.0,3631.0,0.032258064516129,2244.0,0.1760083813514929,1,0.2782315066758171,ghost_ratio,Low,0.0,0.0,Low
110065,513.0,56.0,Delhi,South Delhi,3089.0,3129.0,293.0,3026.0,0.0982456140350877,3382.0,0.0948220064724919,1,0.20693755082539,adult_spike_ratio,Low,0.0,0.0,Low
110066,34.0,10.0,Delhi,South West Delhi,539.0,653.0,69.0,502.0,0.2222222222222222,608.0,0.1277777777777777,1,0.1575683790941668,adult_spike_ratio,Low,0.0,0.0,Low
110067,92.0,15.0,Delhi,South West Delhi,1129.0,1040.0,104.0,1072.0,0.1388888888888889,1233.0,0.0920353982300885,1,0.2084359414413184,adult_spike_ratio,Low,0.0,0.0,Low
110068,150.0,5.0,Delhi,South Delhi,1791.0,1891.0,274.0,3355.0,0.032051282051282,2065.0,0.1529017857142857,1,0.2849820765414335,ghost_ratio,Low,0.0,0.0,Low
110069,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.2521203214867692,ghost_ratio,Low,0.0,0.0,Low
110070,389.0,59.0,Delhi,South West Delhi,1980.0,2339.0,618.0,5547.0,0.131403118040089,2598.0,0.3119636547198384,1,0.1427180890320147,adult_spike_ratio,Low,0.0,0.0,Low
110071,213.0,2.0,Delhi,South West Delhi,2382.0,2715.0,544.0,3508.0,0.0092592592592592,2926.0,0.2282836760386068,1,0.2839440638419133,adult_spike_ratio,Low,0.0,0.0,Low
110072,70.0,0.0,Delhi,South West Delhi,954.0,967.0,115.0,1048.0,0.0,1069.0,0.1204188481675392,1,0.3329894979212238,adult_spike_ratio,Low,0.0,0.0,Low
110073,99.0,0.0,Delhi,South West Delhi,1949.0,1599.0,103.0,826.0,0.0,2052.0,0.0528205128205128,1,0.2945881810674004,adult_spike_ratio,Low,0.0,0.0,Low
110074,729.0,17.0,Delhi,South Delhi,5466.0,6477.0,1251.0,11790.0,0.0227576974564926,6717.0,0.2288275105176513,1,0.1973094556118284,velocity_index,Low,0.0,0.0,Low
110075,254.0,5.0,Delhi,South West Delhi,2257.0,2624.0,1024.0,8571.0,0.0192307692307692,3281.0,0.4534986713906112,1,0.144300488967075,ghost_ratio,Low,0.0,0.0,Low
110076,447.0,3.0,Delhi,South Delhi,5237.0,8245.0,849.0,9623.0,0.0066518847006651,6086.0,0.1620847651775487,1,0.2314738364206776,velocity_index,Low,0.0,0.0,Low
110077,481.0,18.0,Delhi,South West Delhi,3760.0,3663.0,1555.0,10650.0,0.036,5315.0,0.4134538686519542,1,0.1341565536087794,ghost_ratio,Low,0.0,0.0,Low
110078,453.0,6.0,Delhi,South West Delhi,4065.0,4136.0,1057.0,6842.0,0.0130434782608695,5122.0,0.2599606492867683,1,0.2162638761714661,velocity_index,Low,0.0,0.0,Low
110080,290.0,0.0,Delhi,South Delhi,2220.0,2292.0,568.0,4537.0,0.0,2788.0,0.2557406573615488,1,0.2769741557061751,adult_spike_ratio,Low,0.0,0.0,Low
110081,494.0,2.0,Delhi,North West Delhi,6029.0,10320.0,676.0,4614.0,0.0040241448692152,6705.0,0.112106135986733,1,0.2164866321073186,velocity_index,Low,0.0,0.0,Low
110082,203.0,5.0,Delhi,North West Delhi,2586.0,3876.0,356.0,1922.0,0.0239234449760765,2942.0,0.1376111325860069,1,0.2891181906001223,ghost_ratio,Low,0.0,0.0,Low
110083,405.0,4.0,Delhi,North West Delhi,6966.0,12326.0,1250.0,8160.0,0.0097560975609756,8216.0,0.1794172527630257,1,0.1960084839947217,velocity_index,Low,0.0,0.0,Low
110084,970.0,12.0,Delhi,North Delhi,9400.0,12727.0,6220.0,44678.0,0.0122075279755849,15620.0,0.6616317413041166,-1,-0.0232396485466553,velocity_index,CRITICAL,28.7647741,77.1943895,High
110085,2154.0,69.0,Delhi,North West Delhi,12547.0,15199.0,5455.0,40820.0,0.0310251798561151,18002.0,0.4347306343640421,-1,-0.0140703472379714,velocity_index,CRITICAL,28.7374471,77.0896745,High
110086,2402.0,26.0,Delhi,North West Delhi,26574.0,39616.0,7494.0,48111.0,0.0107039934129271,34068.0,0.2819943555973659,-1,-0.0186458130107327,velocity_index,CRITICAL,28.70353,77.067507,High
110087,190.0,2.0,Delhi,West Delhi,2218.0,3361.0,773.0,6048.0,0.0103626943005181,2991.0,0.3483551149166291,1,0.2152244458595579,ghost_ratio,Low,0.0,0.0,Low
110088,317.0,6.0,Delhi,North West Delhi,4540.0,6333.0,867.0,8122.0,0.0185185185185185,5407.0,0.190927108566395,1,0.235615382221581,velocity_index,Low,0.0,0.0,Low
110089,190.0,0.0,Delhi,North West Delhi,2257.0,4199.0,469.0,3937.0,0.0,2726.0,0.2077059344552701,1,0.2954245880578545,adult_spike_ratio,Low,0.0,0.0,Low
110090,11.0,0.0,Delhi,North East Delhi,49.0,35.0,16.0,65.0,0.0,65.0,0.32,1,0.2650829793195843,ghost_ratio,Low,0.0,0.0,Low
110091,1729.0,29.0,Delhi,East Delhi,10958.0,13650.0,4722.0,38038.0,0.0164866401364411,15680.0,0.4308787298111141,1,0.0012116972499071,velocity_index,Low,0.0,0.0,Low
110092,3405.0,152.0,Delhi,East Delhi,13321.0,15454.0,8020.0,56936.0,0.0427206295671725,21341.0,0.6020117099534604,-1,-0.0466963788370912,velocity_index,CRITICAL,28.6518612,77.3165879,High
110093,1151.0,6.0,Delhi,North East,18135.0,23764.0,5295.0,25818.0,0.005181347150259,23430.0,0.2919607410674901,1,0.0001300123836474,velocity_index,Low,0.0,0.0,Low
110094,5589.0,48.0,Delhi,North East Delhi,31858.0,46907.0,18284.0,85189.0,0.0085136573252926,50142.0,0.5739037634577356,-1,-0.064015668958911,velocity_index,CRITICAL,28.7628083,77.2286965,High
110095,1075.0,14.0,Delhi,East Delhi,8229.0,10981.0,2160.0,10267.0,0.0128440366972477,10389.0,0.2624544349939247,1,0.1172128730040888,velocity_index,Low,0.0,0.0,Low
110096,643.0,1.0,Delhi,East Delhi,9761.0,8913.0,6484.0,26280.0,0.0015503875968992,16245.0,0.6642081540667896,-1,-0.019157818570449,velocity_index,CRITICAL,28.6100527,77.3280077,High
121001,2530.0,62.0,Haryana,Faridabad,11385.0,9338.0,3018.0,24936.0,0.0239105283455457,14403.0,0.2650623572808712,1,0.0572628928762174,velocity_index,Low,0.0,0.0,Low
121002,1062.0,40.0,Haryana,Faridabad,5922.0,6900.0,2085.0,14064.0,0.0362647325475974,8007.0,0.3520175586695931,1,0.1199546206356259,velocity_index,Low,0.0,0.0,Low
121003,1148.0,53.0,Haryana,Faridabad,5626.0,7314.0,1732.0,13602.0,0.0440931780366056,7358.0,0.3078016705171494,1,0.1398958388659714,velocity_index,Low,0.0,0.0,Low
121004,6507.0,141.0,Haryana,Faridabad,20234.0,20150.0,8934.0,58063.0,0.0212061964205143,29168.0,0.4415122312824314,-1,-0.0524794822361232,velocity_index,CRITICAL,28.3205885,77.341762,High
121005,625.0,4.0,Haryana,Faridabad,7128.0,6208.0,2255.0,16451.0,0.0063492063492063,9383.0,0.3163136484780474,1,0.1238519702162115,velocity_index,Low,0.0,0.0,Low
121006,172.0,7.0,Haryana,Faridabad,2012.0,1895.0,503.0,3359.0,0.0388888888888888,2515.0,0.2498758072528564,1,0.2532843190548695,ghost_ratio,Low,0.0,0.0,Low
121007,76.0,8.0,Haryana,Faridabad,778.0,784.0,141.0,1098.0,0.0941176470588235,919.0,0.1810012836970475,1,0.2380583847438853,adult_spike_ratio,Low,0.0,0.0,Low
121008,47.0,1.0,Haryana,Faridabad,594.0,726.0,110.0,915.0,0.0204081632653061,704.0,0.1848739495798319,1,0.3073937904327009,velocity_index,Low,0.0,0.0,Low
121009,90.0,3.0,Haryana,Faridabad,1132.0,1449.0,114.0,1220.0,0.0319148936170212,1246.0,0.1006178287731685,1,0.3032697692051711,velocity_index,Low,0.0,0.0,Low
121010,64.0,0.0,Haryana,Faridabad,513.0,607.0,108.0,1454.0,0.0,621.0,0.2101167315175097,1,0.3218412110188024,velocity_index,Low,0.0,0.0,Low
121012,8.0,0.0,Haryana,Faridabad,99.0,68.0,8.0,170.0,0.0,107.0,0.08,1,0.3052457333812073,adult_spike_ratio,Low,0.0,0.0,Low
121013,100.0,0.0,Haryana,Faridabad,1067.0,1545.0,141.0,1285.0,0.0,1208.0,0.1320224719101123,1,0.327616971482162,adult_spike_ratio,Low,0.0,0.0,Low
121014,2.0,0.0,Haryana,Faridabad,5.0,9.0,5.0,70.0,0.0,10.0,0.8333333333333334,1,0.0947988818759545,ghost_ratio,Low,0.0,0.0,Low
121101,242.0,4.0,Haryana,Faridabad,3031.0,3530.0,690.0,4941.0,0.0161943319838056,3721.0,0.2275725593667546,1,0.2581845863913987,velocity_index,Low,0.0,0.0,Low
121102,1626.0,2.0,Haryana,Faridabad,12643.0,12025.0,3198.0,27030.0,0.0012277470841006,15841.0,0.2529262891490035,1,0.0477782821739622,velocity_index,Low,0.0,0.0,Low
121103,1252.0,0.0,Haryana,Palwal,6800.0,5539.0,1683.0,16308.0,0.0,8483.0,0.2474636082928981,1,0.1510253236072299,velocity_index,Low,0.0,0.0,Low
121105,483.0,1.0,Haryana,Palwal,3355.0,3025.0,827.0,6995.0,0.002061855670103,4182.0,0.2464243146603099,1,0.2339793647300602,velocity_index,Low,0.0,0.0,Low
121106,571.0,1.0,Haryana,Palwal,4541.0,4434.0,814.0,6024.0,0.0017452006980802,5355.0,0.1792162043152796,1,0.2314854535014915,velocity_index,Low,0.0,0.0,Low
121107,369.0,0.0,Haryana,Palwal,2728.0,2509.0,653.0,4519.0,0.0,3381.0,0.2392817882008061,1,0.2672741477290328,velocity_index,Low,0.0,0.0,Low
121705,78.0,0.0,Uttar Pradesh,Mau,1334.0,858.0,477.0,2529.0,0.0,1811.0,0.3573033707865168,1,0.2508174586524597,ghost_ratio,Low,0.0,0.0,Low
122001,3416.0,161.0,Haryana,Gurugram,11213.0,10980.0,4776.0,34948.0,0.0449972051425377,15989.0,0.4258962011771,-1,-0.0043645449119661,velocity_index,CRITICAL,28.4665886,77.0333116,High
122002,377.0,137.0,Haryana,Gurgaon,1055.0,1336.0,859.0,8671.0,0.2660194174757281,1914.0,0.8134469696969697,-1,-0.0226762437913435,ghost_ratio,CRITICAL,28.4462535,77.104589,High
122003,169.0,7.0,Haryana,Gurgaon,1147.0,1291.0,296.0,3002.0,0.03954802259887,1443.0,0.2578397212543554,1,0.268717203073136,velocity_index,Low,0.0,0.0,Low
122004,375.0,15.0,Haryana,Gurugram,1647.0,1614.0,810.0,6603.0,0.0383631713554987,2457.0,0.491504854368932,1,0.1296988861084911,ghost_ratio,Low,0.0,0.0,Low
122005,8.0,2.0,Haryana,Gurgaon,9.0,8.0,9.0,65.0,0.1818181818181818,18.0,0.9,1,0.004784791614967,ghost_ratio,Low,0.0,0.0,Low
122006,128.0,1.0,Haryana,Gurgaon,779.0,865.0,276.0,2436.0,0.0076923076923076,1055.0,0.3538461538461538,1,0.2468717190173568,ghost_ratio,Low,0.0,0.0,Low
122007,0.0,0.0,0,0,11.0,9.0,1.0,28.0,0.0,12.0,0.0833333333333333,1,0.2983496213537484,adult_spike_ratio,Low,0.0,0.0,Low
122008,5.0,1.0,Haryana,Gurgaon,4.0,11.0,4.0,63.0,0.1428571428571428,8.0,0.8,1,0.0380841330475957,ghost_ratio,Low,0.0,0.0,Low
122009,30.0,17.0,Haryana,Gurgaon,318.0,415.0,90.0,1253.0,0.3541666666666667,408.0,0.2821316614420062,1,0.0455458794484684,adult_spike_ratio,Low,0.0,0.0,Low
122010,3.0,1.0,Haryana,Gurgaon,13.0,13.0,9.0,108.0,0.2,22.0,0.6428571428571429,1,0.0399593971036001,ghost_ratio,Low,0.0,0.0,Low
122011,53.0,15.0,Haryana,Gurgaon,584.0,487.0,132.0,1308.0,0.217391304347826,716.0,0.2256410256410256,1,0.1473205145350331,adult_spike_ratio,Low,0.0,0.0,Low
122015,36.0,1.0,Haryana,Gurgaon,317.0,321.0,58.0,549.0,0.0263157894736842,375.0,0.1823899371069182,1,0.2949728905958647,velocity_index,Low,0.0,0.0,Low
122016,22.0,2.0,Haryana,Gurgaon,251.0,288.0,31.0,290.0,0.08,282.0,0.123015873015873,1,0.2560917862894938,adult_spike_ratio,Low,0.0,0.0,Low
122017,181.0,6.0,Haryana,Gurgaon,1404.0,1433.0,765.0,6245.0,0.0319148936170212,2169.0,0.5444839857651246,1,0.1247146484325018,ghost_ratio,Low,0.0,0.0,Low
122018,137.0,7.0,Haryana,Gurgaon,942.0,947.0,444.0,3311.0,0.0482758620689655,1386.0,0.4708377518557794,1,0.139309380812686,ghost_ratio,Low,0.0,0.0,Low
122051,54.0,1.0,Haryana,Gurgaon,414.0,452.0,38.0,390.0,0.0178571428571428,452.0,0.0915662650602409,1,0.305033608606046,velocity_index,Low,0.0,0.0,Low
122052,8.0,0.0,Haryana,Gurgaon,63.0,66.0,15.0,183.0,0.0,78.0,0.234375,1,0.2897957751853599,adult_spike_ratio,Low,0.0,0.0,Low
122098,4.0,1.0,Haryana,Gurgaon,2.0,2.0,7.0,72.0,0.1666666666666666,9.0,2.333333333333333,-1,-0.0511492355051386,ghost_ratio,CRITICAL,28.3814966,77.0625528,High
122101,220.0,5.0,Haryana,Gurgaon,1444.0,1922.0,1018.0,7726.0,0.0221238938053097,2462.0,0.7044982698961938,1,0.0950197411221941,ghost_ratio,Low,0.0,0.0,Low
122102,244.0,11.0,Haryana,Gurgaon,1704.0,1659.0,309.0,2021.0,0.04296875,2013.0,0.1812316715542522,1,0.2746848714614026,adult_spike_ratio,Low,0.0,0.0,Low
122103,1182.0,11.0,Haryana,Gurugram,5865.0,4383.0,1366.0,10267.0,0.0092127303182579,7231.0,0.2328673712921923,1,0.1871037128738559,velocity_index,Low,0.0,0.0,Low
122104,724.0,2.0,Haryana,Mewat,4848.0,3486.0,644.0,6095.0,0.0027510316368638,5492.0,0.1328108888430604,1,0.23350417032339,velocity_index,Low,0.0,0.0,Low
122105,530.0,0.0,Haryana,Gurgaon,5844.0,5280.0,545.0,4689.0,0.0,6389.0,0.0932420872540633,1,0.2299248629093012,velocity_index,Low,0.0,0.0,Low
122107,1009.0,0.0,Haryana,Mewat,6559.0,5196.0,1096.0,8890.0,0.0,7655.0,0.1670731707317073,1,0.1900411270819096,velocity_index,Low,0.0,0.0,Low
122108,1211.0,17.0,Haryana,Nuh,5541.0,4723.0,836.0,8037.0,0.0138323840520748,6377.0,0.1508480692890653,1,0.2269733787673563,velocity_index,Low,0.0,0.0,Low
122413,133.0,0.0,Haryana,Gurgaon,1188.0,1448.0,253.0,1615.0,0.0,1441.0,0.2127838519764508,1,0.3152352107327662,adult_spike_ratio,Low,0.0,0.0,Low
122414,92.0,0.0,Haryana,Gurgaon,991.0,979.0,95.0,734.0,0.0,1086.0,0.095766129032258,1,0.3293988763130069,adult_spike_ratio,Low,0.0,0.0,Low
122502,101.0,0.0,Haryana,Gurgaon,1168.0,1144.0,140.0,835.0,0.0,1308.0,0.1197604790419161,1,0.3280470220730045,adult_spike_ratio,Low,0.0,0.0,Low
